Country,Latitude,Longitude
East Timor,-8.82889162,125.8443898
Ecuador,-1.42381612,-78.75201922
Egypt,26.49593311,29.86190099
El Salvador,13.73943744,-88.87164469
Equatorial Guinea,1.70555135,10.34137924
Eritrea,15.36186618,38.84617011
Estonia,58.67192972,25.54248537
Eswatini,-26.602948,31.514243
Ethiopia,8.62278679,39.60080098
Falkland Islands,-51.74483954,-59.35238956
Faroe Islands,62.05385403,-6.88095423
Federated States of Micronesia,7.45246814,153.2394379
Fiji,-17.42858032,165.4519543
Finland,64.49884603,26.2746656
France,42.17344011,-2.76172945
French Guiana,4.064606,-53.189785
French Polynesia,-14.72227409,-144.9049439
French Southern and Antarctic Lands,-49.24895485,69.22666758
Gabon,-0.58660025,11.7886287
Gambia,13.44965244,-15.39601295
Georgia,42.16855755,43.50780252
Germany,51.10698181,10.38578051
Ghana,7.95345644,-1.21676566
Gibraltar,36.136575,-5.347807
Greece,39.07469623,22.95555794
Greenland,74.71051289,-41.34191127
Grenada,12.11725044,-61.68220189
Guadeloupe,16.258034,-61.567727
Guam,13.44165626,144.7679102
Guatemala,15.69403664,-90.36482009
Guernsey,49.46809761,-2.57239064
Guinea,10.43621593,-10.94066612
Guinea Bissau,12.04744948,-14.94972445
Guyana,4.79378034,-58.98202459
Haiti,18.93502563,-72.68527509
Heard Island and McDonald Islands,-53.08724656,73.5205171
Honduras,14.82688165,-86.6151661
Hong Kong,22.39827737,114.1138045
Hungary,47.16277506,19.39559116
Iceland,64.99575386,-18.57396167
India,22.88578212,79.6119761
Indian Ocean Territories,-10.6478515,104.851898
Indonesia,-2.21505456,117.2401137
Iran,32.57503292,54.27407004
Iraq,33.03970582,43.74353149
Ireland,53.1754487,-8.13793569
Isle of Man,54.22418911,-4.53873952
Israel,31.46110101,35.00444693
Italy,42.79662641,12.07001339
Ivory Coast,7.6284262,-5.5692157
Jamaica,18.15694878,-77.31482593
Japan,37.59230135,138.0308956
Jersey,49.21837377,-2.12689938
Jordan,31.24579091,36.77136104
Kazakhstan,48.15688067,67.29149357
Kenya,0.59988022,37.79593973
Kiribati,0.86001503,-45.61110513
Kosovo,42.57078707,20.87249811
Kuwait,29.33431262,47.58700459
Kyrgyzstan,41.46221943,74.54165513
Laos,18.50217433,103.7377241
Latvia,56.85085163,24.91235983
Lebanon,33.92306631,35.88016072
Lesotho,-29.58003188,28.22723131
Liberia,6.45278492,-9.32207573
Libya,27.03094495,18.00866169
Liechtenstein,47.13665835,9.53574312
Lithuania,55.32610984,23.88719355
Luxembourg,49.76725361,6.07182201
Macao,22.22311688,113.5093212
Macedonia,41.59530893,21.68211346
Madagascar,-19.37189587,46.70473674
Malawi,-13.21808088,34.28935599
Malaysia,3.78986846,109.6976228
Maldives,3.7287092,73.45713004
Mali,17.34581581,-3.54269065
Malta,35.92149632,14.40523316
Marshall Islands,7.00376358,170.3397612
Martinique,14.681752,-61.015198
Mauritania,20.25736706,-10.34779815
Mauritius,-20.27768704,57.57120551
Mayotte,-12.791671,45.154361
Mexico,23.94753724,-102.5234517
Moldova,47.19498804,28.45673372
Monaco,43.75274627,7.40627677
Mongolia,46.82681544,103.0529977
Montenegro,42.78890259,19.23883939
Montserrat,16.73941406,-62.18518546
Morocco,29.83762955,-8.45615795
Mozambique,-17.27381643,35.53367543
Myanmar,21.18566599,96.48843321
Namibia,-22.13032568,17.20963567
Nauru,-0.51912639,166.9325682
Nepal,28.24891365,83.9158264
Netherlands,52.1007899,5.28144793
New Caledonia,-21.29991806,165.6849237
New Zealand,-41.81113557,171.4849235
Nicaragua,12.84709429,-85.0305297
Niger,17.41912493,9.38545882
Nigeria,9.59411452,8.08943895
Niue,-19.04945708,-169.8699468
Norfolk Island,-29.0514609,167.9492168
North Korea,40.15350311,127.1924797
North Macedonia,41.660855,21.717275
Northern Cyprus,35.26277486,33.5684813
Northern Mariana Islands,15.82927563,145.6196965
Norway,68.75015572,15.34834656
Oman,20.60515333,56.09166155
Pakistan,29.9497515,69.33957937
Palau,7.28742784,134.4080797
Palestine,31.91613893,35.19628705
Panama,8.51750797,-80.11915156
