date,sentiment
Tue Sep 17 01:41:49 +0000 2019,positive
,
Tue Sep 17 01:41:53 +0000 2019,neutral
,
Tue Sep 17 01:41:53 +0000 2019,neutral
,
Tue Sep 17 01:41:55 +0000 2019,neutral
,
Tue Sep 17 01:42:01 +0000 2019,positive
,
Tue Sep 17 01:42:02 +0000 2019,positive
,
Tue Sep 17 01:42:03 +0000 2019,negative
,
Tue Sep 17 01:42:04 +0000 2019,positive
,
Tue Sep 17 01:42:05 +0000 2019,neutral
,
Tue Sep 17 01:42:06 +0000 2019,positive
,
Tue Sep 17 01:42:07 +0000 2019,positive
,
Tue Sep 17 01:42:07 +0000 2019,neutral
,
Tue Sep 17 01:42:07 +0000 2019,neutral
,
Tue Sep 17 01:42:08 +0000 2019,positive
,
Tue Sep 17 01:42:09 +0000 2019,positive
,
Tue Sep 17 01:42:13 +0000 2019,negative
,
Tue Sep 17 01:42:13 +0000 2019,neutral
,
Tue Sep 17 01:42:13 +0000 2019,neutral
,
Tue Sep 17 01:42:14 +0000 2019,positive
,
Tue Sep 17 01:42:15 +0000 2019,neutral
,
Tue Sep 17 01:42:17 +0000 2019,positive
,
Tue Sep 17 01:42:22 +0000 2019,neutral
,
Tue Sep 17 01:42:24 +0000 2019,positive
,
Tue Sep 17 01:42:25 +0000 2019,neutral
,
Tue Sep 17 01:42:25 +0000 2019,negative
,
Tue Sep 17 01:42:27 +0000 2019,positive
,
Tue Sep 17 01:42:28 +0000 2019,neutral
,
Tue Sep 17 01:42:32 +0000 2019,neutral
,
Tue Sep 17 01:42:33 +0000 2019,negative
,
Tue Sep 17 01:42:35 +0000 2019,neutral
,
Tue Sep 17 01:42:36 +0000 2019,positive
,
Tue Sep 17 01:42:38 +0000 2019,positive
,
Tue Sep 17 01:42:40 +0000 2019,positive
,
Tue Sep 17 01:42:42 +0000 2019,neutral
,
Tue Sep 17 01:42:44 +0000 2019,neutral
,
Tue Sep 17 01:42:47 +0000 2019,positive
,
Tue Sep 17 01:42:49 +0000 2019,neutral
,
Tue Sep 17 01:42:50 +0000 2019,neutral
,
Tue Sep 17 01:42:52 +0000 2019,negative
,
Tue Sep 17 01:42:52 +0000 2019,neutral
,
Tue Sep 17 01:42:52 +0000 2019,positive
,
Tue Sep 17 01:42:56 +0000 2019,neutral
,
Tue Sep 17 01:42:58 +0000 2019,neutral
,
Tue Sep 17 01:43:03 +0000 2019,neutral
,
Tue Sep 17 01:43:03 +0000 2019,positive
,
Tue Sep 17 01:43:09 +0000 2019,neutral
,
Tue Sep 17 01:43:10 +0000 2019,positive
,
Tue Sep 17 01:43:11 +0000 2019,neutral
,
Tue Sep 17 01:43:14 +0000 2019,positive
,
Tue Sep 17 01:43:14 +0000 2019,negative
,
Tue Sep 17 01:43:20 +0000 2019,positive
,
Tue Sep 17 01:43:25 +0000 2019,neutral
,
Tue Sep 17 01:43:29 +0000 2019,neutral
,
Tue Sep 17 01:43:30 +0000 2019,neutral
,
Tue Sep 17 01:43:30 +0000 2019,neutral
,
Tue Sep 17 01:43:33 +0000 2019,neutral
,
Tue Sep 17 01:43:35 +0000 2019,positive
,
Tue Sep 17 01:43:36 +0000 2019,positive
,
Tue Sep 17 01:43:38 +0000 2019,negative
,
Tue Sep 17 01:43:39 +0000 2019,positive
,
Tue Sep 17 01:43:40 +0000 2019,neutral
,
Tue Sep 17 01:43:40 +0000 2019,neutral
,
Tue Sep 17 01:43:42 +0000 2019,positive
,
Tue Sep 17 01:43:48 +0000 2019,positive
,
Tue Sep 17 01:43:50 +0000 2019,neutral
,
Tue Sep 17 01:43:52 +0000 2019,neutral
,
Tue Sep 17 01:43:52 +0000 2019,negative
,
Tue Sep 17 01:44:02 +0000 2019,positive
,
Tue Sep 17 01:44:05 +0000 2019,neutral
,
Tue Sep 17 01:44:06 +0000 2019,neutral
,
Tue Sep 17 01:44:06 +0000 2019,positive
,
Tue Sep 17 01:44:07 +0000 2019,neutral
,
Tue Sep 17 01:44:09 +0000 2019,positive
,
Tue Sep 17 01:44:10 +0000 2019,negative
,
Tue Sep 17 01:44:11 +0000 2019,positive
,
Tue Sep 17 01:44:12 +0000 2019,negative
,
Tue Sep 17 01:44:13 +0000 2019,neutral
,
Tue Sep 17 01:44:15 +0000 2019,positive
,
Tue Sep 17 01:44:15 +0000 2019,neutral
,
Tue Sep 17 01:44:16 +0000 2019,positive
,
Tue Sep 17 01:44:17 +0000 2019,neutral
,
Tue Sep 17 01:44:17 +0000 2019,positive
,
Tue Sep 17 01:44:18 +0000 2019,neutral
,
Tue Sep 17 01:44:20 +0000 2019,negative
,
Tue Sep 17 01:44:21 +0000 2019,neutral
,
Tue Sep 17 01:44:23 +0000 2019,positive
,
Tue Sep 17 01:44:28 +0000 2019,neutral
,
Tue Sep 17 01:44:29 +0000 2019,neutral
,
Tue Sep 17 01:44:31 +0000 2019,positive
,
Tue Sep 17 01:44:32 +0000 2019,positive
,
Tue Sep 17 01:44:33 +0000 2019,positive
,
Tue Sep 17 01:44:34 +0000 2019,neutral
,
Tue Sep 17 01:44:34 +0000 2019,positive
,
Tue Sep 17 01:44:35 +0000 2019,neutral
,
Tue Sep 17 01:44:36 +0000 2019,neutral
,
Tue Sep 17 01:44:39 +0000 2019,negative
,
Tue Sep 17 01:44:44 +0000 2019,negative
,
Tue Sep 17 01:44:46 +0000 2019,positive
,
Tue Sep 17 01:44:54 +0000 2019,positive
,
Tue Sep 17 01:44:56 +0000 2019,neutral
,
Tue Sep 17 01:45:01 +0000 2019,neutral
,
Tue Sep 17 01:45:04 +0000 2019,neutral
,
Tue Sep 17 01:45:04 +0000 2019,neutral
,
Tue Sep 17 01:45:04 +0000 2019,positive
,
Tue Sep 17 01:45:05 +0000 2019,negative
,
Tue Sep 17 01:45:07 +0000 2019,neutral
,
Tue Sep 17 01:45:12 +0000 2019,neutral
,
Tue Sep 17 01:45:12 +0000 2019,positive
,
Tue Sep 17 01:45:16 +0000 2019,positive
,
Tue Sep 17 01:45:17 +0000 2019,positive
,
Tue Sep 17 01:45:20 +0000 2019,neutral
,
Tue Sep 17 01:45:31 +0000 2019,neutral
,
Tue Sep 17 01:45:31 +0000 2019,neutral
,
Tue Sep 17 01:45:32 +0000 2019,negative
,
Tue Sep 17 01:45:34 +0000 2019,positive
,
Tue Sep 17 01:45:35 +0000 2019,neutral
,
Tue Sep 17 01:45:35 +0000 2019,positive
,
Tue Sep 17 01:45:36 +0000 2019,neutral
,
Tue Sep 17 01:45:40 +0000 2019,negative
,
Tue Sep 17 01:45:41 +0000 2019,neutral
,
Tue Sep 17 01:45:41 +0000 2019,positive
,
Tue Sep 17 01:45:44 +0000 2019,neutral
,
Tue Sep 17 01:45:47 +0000 2019,negative
,
Tue Sep 17 01:45:48 +0000 2019,neutral
,
Tue Sep 17 01:45:48 +0000 2019,positive
,
Tue Sep 17 01:45:48 +0000 2019,positive
,
Tue Sep 17 01:45:50 +0000 2019,negative
,
Tue Sep 17 01:45:55 +0000 2019,neutral
,
Tue Sep 17 01:45:57 +0000 2019,positive
,
Tue Sep 17 01:45:57 +0000 2019,neutral
,
Tue Sep 17 01:45:58 +0000 2019,negative
,
Tue Sep 17 01:45:58 +0000 2019,neutral
,
Tue Sep 17 01:45:58 +0000 2019,neutral
,
Tue Sep 17 01:45:58 +0000 2019,neutral
,
